0,1,2,3,4,5,6,7,y
0.0,0.0,1.0,0.0,0.0,0.4722265067674694,-1.7565251299004097,0.734336259529673,9193.8385
0.0,0.0,0.0,0.0,0.0,0.5433129392718578,-1.0330823901348098,-0.9111921126101178,8534.6718
0.0,0.0,0.0,1.0,0.0,0.8987451017937995,-0.9436867197747587,-0.9111921126101178,27117.99378
0.0,0.0,0.0,1.0,0.0,-0.02537852076324914,0.622392986903176,3.202628817739359,8596.8278
0.0,0.0,1.0,0.0,0.0,1.0409179668025763,-1.504892872590636,1.5571004455995683,12475.3513
1.0,0.0,0.0,1.0,0.0,1.6806958593420716,1.8060578814853356,-0.9111921126101178,13405.3903
0.0,0.0,0.0,0.0,1.0,-1.2338478733378513,-1.0363933408888857,-0.9111921126101178,2150.469
1.0,1.0,0.0,0.0,0.0,-1.5181936033554047,-1.4891658565087746,-0.9111921126101178,13747.87235
1.0,0.0,0.0,0.0,0.0,0.04570791174113922,1.7663264724364236,-0.08842792654022237,6610.1097
1.0,1.0,0.0,0.0,0.0,-0.16755138577202586,0.6025272823787207,-0.08842792654022237,39047.285
1.0,0.0,0.0,0.0,0.0,-0.38081068328519097,-1.347622711772027,0.734336259529673,27375.90478
1.0,0.0,0.0,1.0,0.0,0.7565722367850228,1.077648715588622,-0.08842792654022237,9048.0273
0.0,0.0,1.0,0.0,0.0,0.6854858042806344,-0.10518844130501867,-0.9111921126101178,8988.15875
0.0,0.0,0.0,0.0,0.0,1.7517822918464598,1.4517861507992067,-0.9111921126101178,14901.5167
1.0,0.0,0.0,0.0,1.0,0.4722265067674694,-0.7880720343331878,3.202628817739359,10096.97
1.0,0.0,1.0,0.0,0.0,0.7565722367850228,0.2722599446596417,-0.9111921126101178,8835.26495
1.0,1.0,0.0,0.0,1.0,-0.23863781827641423,0.47008925221568104,0.734336259529673,38415.474
1.0,0.0,0.0,0.0,0.0,-1.0205885758246862,-0.7185420684975927,-0.9111921126101178,2721.3208
0.0,0.0,0.0,1.0,0.0,0.8276586692894112,1.1869100904731287,-0.08842792654022237,9877.6077
1.0,1.0,0.0,1.0,0.0,0.8987451017937995,1.860688568927589,0.734336259529673,47269.854
1.0,0.0,0.0,0.0,0.0,-0.6651564133027443,-0.4826368272696796,-0.08842792654022237,4237.12655
1.0,0.0,1.0,0.0,0.0,-1.0205885758246862,0.8384325236066331,-0.9111921126101178,2534.39375
0.0,0.0,0.0,0.0,0.0,-1.5181936033554047,0.22507889641405968,-0.9111921126101178,2205.9808
1.0,0.0,0.0,0.0,1.0,1.2541772643157414,-0.407312697614451,-0.9111921126101178,10965.446
0.0,1.0,0.0,0.0,0.0,-0.8784157108159095,-2.086792467619488,0.734336259529673,15006.57945
1.0,0.0,0.0,0.0,0.0,0.6143993717762462,0.8384325236066331,2.379864631669464,10736.87075
1.0,0.0,0.0,1.0,0.0,0.401140074263081,-1.034737865511848,3.202628817739359,9788.8659
1.0,0.0,0.0,0.0,0.0,1.0409179668025763,-1.0802634383803924,-0.9111921126101178,10422.91665
1.0,0.0,0.0,1.0,0.0,0.6854858042806344,1.1504896321782931,0.734336259529673,9304.7019
0.0,0.0,0.0,0.0,1.0,-0.9495021433202978,-1.7813572605559793,-0.08842792654022237,3378.91
0.0,0.0,0.0,1.0,0.0,-1.2338478733378513,-0.415590074499641,-0.9111921126101178,2155.6815
1.0,1.0,0.0,1.0,0.0,-1.0916750083290745,1.5875351317163215,-0.9111921126101178,38126.2465
1.0,1.0,0.0,0.0,1.0,-0.38081068328519097,0.03966565418580509,-0.9111921126101178,35491.64
1.0,0.0,0.0,1.0,0.0,-0.02537852076324914,2.461626130792378,0.734336259529673,6356.2707
0.0,0.0,1.0,0.0,0.0,-1.4471071708510164,0.004900671268007243,0.734336259529673,24059.68019
1.0,1.0,1.0,0.0,0.0,-1.4471071708510164,-0.7499961006613141,-0.08842792654022237,16450.8947
1.0,0.0,0.0,1.0,0.0,1.3963501293245182,-0.14243663728837358,0.734336259529673,12925.886
1.0,1.0,0.0,1.0,0.0,-0.6651564133027443,0.8227055075247725,-0.9111921126101178,36950.2567
0.0,0.0,0.0,0.0,0.0,-1.376020738346628,0.004900671268007243,-0.9111921126101178,2459.7201
1.0,1.0,0.0,1.0,0.0,1.7517822918464598,0.5495520703135051,-0.9111921126101178,46889.2612
1.0,0.0,0.0,1.0,0.0,-0.38081068328519097,1.9153192563698433,0.734336259529673,5124.1887
0.0,0.0,0.0,1.0,0.0,-1.5181936033554047,1.2779612362102186,-0.9111921126101178,14133.03775
0.0,0.0,0.0,0.0,1.0,-0.30972425078080257,-0.4735317126959708,1.5571004455995683,6414.178
1.0,0.0,0.0,1.0,0.0,-1.5181936033554047,-0.08780594984611975,-0.08842792654022237,1720.3537
1.0,1.0,1.0,0.0,0.0,-1.0205885758246862,-1.0645364222985318,-0.9111921126101178,15817.9857
0.0,0.0,0.0,0.0,1.0,1.6096094268376833,0.436979744674922,-0.9111921126101178,13462.52
1.0,0.0,0.0,0.0,1.0,-1.3049343058422396,-1.3674884162964829,-0.08842792654022237,2103.08
0.0,0.0,0.0,0.0,1.0,1.0409179668025763,0.03966565418580509,1.5571004455995683,12105.32
1.0,0.0,0.0,1.0,0.0,1.1120043993069646,0.40387023713416187,-0.9111921126101178,20781.48892
0.0,0.0,1.0,0.0,0.0,1.3252636968201297,0.9799756683433803,-0.9111921126101178,12235.8392
1.0,1.0,0.0,1.0,0.0,-0.0964649532676375,1.2961714653576364,1.5571004455995683,41949.2441
0.0,0.0,1.0,0.0,0.0,1.183090831811353,0.5396192180512768,0.734336259529673,12643.3778
1.0,1.0,0.0,1.0,0.0,0.6143993717762462,-1.0165276363644298,-0.9111921126101178,21223.6758
0.0,0.0,0.0,0.0,1.0,0.11679434424552758,0.33765122205264264,1.5571004455995683,7954.517
1.0,0.0,0.0,0.0,1.0,1.6806958593420716,1.5295934935199917,1.5571004455995683,15170.069
1.0,0.0,0.0,0.0,1.0,-0.6651564133027443,0.13899417680808387,-0.08842792654022237,3659.346
0.0,0.0,0.0,1.0,0.0,0.4722265067674694,-0.4702207619418948,-0.08842792654022237,8232.6388
1.0,0.0,0.0,0.0,1.0,0.401140074263081,-0.3079841749921722,0.734336259529673,8027.968
1.0,0.0,0.0,1.0,0.0,1.4674365618289065,0.4220804662815796,1.5571004455995683,13919.8229
1.0,0.0,0.0,0.0,1.0,1.1120043993069646,-1.499926446459522,-0.08842792654022237,10791.96
0.0,0.0,0.0,0.0,0.0,-1.0205885758246862,1.7820534885182855,-0.9111921126101178,17878.90068
1.0,0.0,0.0,0.0,1.0,1.183090831811353,1.4964839859792327,-0.9111921126101178,10601.412
0.0,0.0,0.0,0.0,0.0,1.4674365618289065,-0.4983638433515403,-0.9111921126101178,13217.0945
1.0,0.0,0.0,0.0,0.0,1.3252636968201297,0.7126163949517466,-0.9111921126101178,11944.59435
1.0,0.0,0.0,0.0,1.0,-0.38081068328519097,0.37076072959340167,-0.08842792654022237,14358.36437
1.0,1.0,0.0,1.0,0.0,-1.4471071708510164,-0.05138549155128425,-0.9111921126101178,32548.3405
1.0,0.0,0.0,1.0,0.0,0.11679434424552758,0.4949213828712506,-0.9111921126101178,5699.8375
1.0,0.0,1.0,0.0,0.0,-1.0916750083290745,-1.1431715027078357,-0.9111921126101178,2352.96845
0.0,0.0,0.0,1.0,0.0,-0.8073292783115211,-0.6705332825634907,0.734336259529673,4340.4409
1.0,0.0,0.0,0.0,1.0,0.8276586692894112,1.5130387397496128,-0.08842792654022237,9391.346
1.0,1.0,0.0,1.0,0.0,0.5433129392718578,0.9137566532618612,-0.08842792654022237,42211.1382
0.0,0.0,0.0,0.0,1.0,0.4722265067674694,-0.2748746674514126,0.734336259529673,8823.279
0.0,0.0,1.0,0.0,0.0,1.6806958593420716,-0.7185420684975927,-0.9111921126101178,14256.1928
0.0,0.0,0.0,0.0,0.0,-0.0964649532676375,-1.7565251299004097,0.734336259529673,7133.9025
0.0,0.0,1.0,0.0,0.0,-0.8073292783115211,-0.7028150524157315,1.5571004455995683,5312.16985
1.0,0.0,0.0,0.0,1.0,-1.0205885758246862,-0.6225244966293892,1.5571004455995683,3906.127
0.0,0.0,0.0,0.0,0.0,-1.5181936033554047,-0.07373440914129732,-0.9111921126101178,2203.47185
0.0,0.0,1.0,0.0,0.0,0.401140074263081,-0.4826368272696796,-0.08842792654022237,28340.18885
1.0,0.0,0.0,1.0,0.0,-0.0964649532676375,-0.3791696162048055,-0.08842792654022237,5484.4673
0.0,0.0,0.0,1.0,0.0,-1.5181936033554047,0.13071679992289442,-0.9111921126101178,1622.1885
0.0,0.0,0.0,0.0,1.0,0.7565722367850228,0.5197535135268213,2.379864631669464,11299.343
0.0,0.0,1.0,0.0,0.0,0.4722265067674694,-0.46690981118781893,-0.9111921126101178,8026.6666
1.0,0.0,0.0,0.0,1.0,-0.38081068328519097,-0.5894149890886297,0.734336259529673,11737.84884
0.0,0.0,0.0,0.0,1.0,-1.4471071708510164,-1.1853861248223048,0.734336259529673,2913.569
0.0,0.0,0.0,0.0,1.0,0.8276586692894112,-0.7880720343331878,-0.08842792654022237,9861.025
0.0,0.0,0.0,1.0,0.0,-1.0916750083290745,0.5677622994609228,-0.9111921126101178,2473.3341
0.0,1.0,1.0,0.0,0.0,-0.30972425078080257,0.5868002662968588,1.5571004455995683,39983.42595
1.0,1.0,0.0,1.0,0.0,-1.5181936033554047,1.2597510070628009,-0.9111921126101178,36307.7983
0.0,1.0,0.0,1.0,0.0,0.8276586692894112,1.241540777915383,-0.9111921126101178,44400.4064
0.0,0.0,0.0,0.0,1.0,-0.8073292783115211,0.47008925221568104,-0.9111921126101178,3172.018
1.0,0.0,0.0,1.0,0.0,0.4722265067674694,-0.6523230534160729,-0.08842792654022237,7742.1098
0.0,0.0,0.0,1.0,0.0,0.11679434424552758,0.07608611248064058,-0.9111921126101178,6185.3208
0.0,0.0,0.0,0.0,1.0,-1.376020738346628,0.45353449844530097,-0.9111921126101178,1880.487
0.0,1.0,0.0,0.0,0.0,0.25896720925430433,-0.8758122293162013,-0.08842792654022237,21771.3423
1.0,0.0,0.0,0.0,0.0,0.11679434424552758,-1.0959904544622532,-0.08842792654022237,6858.4796
1.0,1.0,0.0,1.0,0.0,0.04570791174113922,-1.7813572605559793,-0.08842792654022237,17179.522
1.0,1.0,1.0,0.0,0.0,0.401140074263081,0.9799756683433803,0.734336259529673,42760.5022
0.0,0.0,0.0,1.0,0.0,-0.23863781827641423,-0.1060161789935375,-0.08842792654022237,5478.0368
0.0,0.0,0.0,0.0,1.0,1.4674365618289065,-0.009998607125334605,-0.9111921126101178,12638.195
0.0,0.0,1.0,0.0,0.0,-0.38081068328519097,1.1215188130801288,0.734336259529673,5989.52365
0.0,0.0,1.0,0.0,0.0,0.6854858042806344,-1.3161686796083054,-0.08842792654022237,9566.9909
0.0,0.0,0.0,0.0,0.0,0.6854858042806344,0.46098413764197216,0.734336259529673,10370.91255
0.0,1.0,0.0,0.0,0.0,0.3300536417586927,-1.709344081654827,-0.08842792654022237,19594.80965
1.0,0.0,0.0,0.0,1.0,1.2541772643157414,2.175228890564807,-0.08842792654022237,11576.13
0.0,0.0,1.0,0.0,0.0,-0.4518971157895793,2.0494127619099194,1.5571004455995683,6360.9936
1.0,0.0,1.0,0.0,0.0,-0.6651564133027443,-1.0645364222985318,-0.08842792654022237,4032.2407
0.0,0.0,0.0,0.0,1.0,-1.3049343058422396,-2.178671351045096,-0.08842792654022237,2585.269
0.0,0.0,0.0,0.0,0.0,1.183090831811353,-0.29391263428734915,-0.9111921126101178,11658.37915
1.0,1.0,0.0,0.0,1.0,-0.02537852076324914,-0.37420319007369135,-0.08842792654022237,21082.16
1.0,0.0,0.0,1.0,0.0,1.1120043993069646,0.3492395496919086,-0.08842792654022237,10807.4863
1.0,0.0,0.0,0.0,1.0,0.8987451017937995,-0.059662868436474295,-0.08842792654022237,9724.53
0.0,0.0,1.0,0.0,0.0,-0.9495021433202978,1.593329295535955,-0.9111921126101178,3201.24515
1.0,0.0,0.0,0.0,0.0,-1.0205885758246862,-0.7814501328250361,-0.08842792654022237,3309.7926
1.0,0.0,0.0,0.0,1.0,0.18788077674991593,-0.6059697428590097,-0.9111921126101178,5969.723
0.0,0.0,0.0,0.0,1.0,0.6143993717762462,-1.2847146474445836,-0.9111921126101178,8269.044
0.0,0.0,0.0,0.0,1.0,0.4722265067674694,0.03966565418580509,1.5571004455995683,9414.92
1.0,1.0,1.0,0.0,0.0,0.8276586692894112,-0.9544473097255053,0.734336259529673,23967.38305
0.0,1.0,0.0,0.0,1.0,1.7517822918464598,0.5363082672972003,-0.08842792654022237,47928.03
0.0,0.0,0.0,0.0,1.0,1.3252636968201297,-0.25831991368103246,-0.9111921126101178,11842.442
0.0,0.0,1.0,0.0,0.0,0.3300536417586927,-0.4826368272696796,-0.9111921126101178,7421.19455
1.0,0.0,1.0,0.0,0.0,1.5385229943332948,1.2945159899805987,-0.9111921126101178,12950.0712
0.0,0.0,1.0,0.0,0.0,0.6143993717762462,1.7663264724364236,2.379864631669464,11033.6617
1.0,0.0,0.0,0.0,1.0,-0.0964649532676375,0.6853010512306199,0.734336259529673,6082.405
0.0,0.0,0.0,0.0,1.0,-0.5229835482939676,1.7448052925349307,-0.9111921126101178,3989.841
0.0,0.0,1.0,0.0,0.0,-0.0964649532676375,-0.05800739305943605,1.5571004455995683,7537.1639
1.0,0.0,0.0,0.0,1.0,-0.9495021433202978,-1.135721863511165,0.734336259529673,3484.331
1.0,0.0,0.0,0.0,1.0,0.6854858042806344,-0.043108114666094204,-0.9111921126101178,8116.68
0.0,0.0,0.0,1.0,0.0,-0.5229835482939676,-1.143999240396355,-0.08842792654022237,17626.23951
0.0,0.0,0.0,0.0,1.0,1.3252636968201297,-0.8874005569554672,-0.9111921126101178,11837.16
0.0,0.0,0.0,0.0,0.0,0.7565722367850228,2.348226067465276,-0.9111921126101178,9541.69555
1.0,0.0,0.0,1.0,0.0,-0.23863781827641423,-0.14243663728837358,-0.9111921126101178,4399.731
0.0,0.0,0.0,0.0,0.0,-1.5181936033554047,-0.3882747307785144,-0.9111921126101178,2200.83085
1.0,0.0,0.0,1.0,0.0,1.3252636968201297,0.9137566532618612,-0.9111921126101178,11363.2832
1.0,0.0,0.0,0.0,1.0,-1.376020738346628,-1.4171526776076226,-0.08842792654022237,1964.78
0.0,0.0,1.0,0.0,0.0,1.5385229943332948,0.09926276775917248,-0.9111921126101178,13429.0354
1.0,0.0,0.0,0.0,1.0,0.4722265067674694,-0.49008646646635023,-0.9111921126101178,24603.04837
0.0,0.0,0.0,1.0,0.0,1.0409179668025763,0.22176794565998317,1.5571004455995683,27322.73386
1.0,1.0,0.0,0.0,0.0,1.1120043993069646,0.02062768734986792,-0.9111921126101178,42303.69215
1.0,1.0,0.0,1.0,0.0,-1.0205885758246862,2.479836359939796,0.734336259529673,42112.2356
1.0,1.0,0.0,1.0,0.0,0.5433129392718578,0.9319668824092789,-0.9111921126101178,41676.0811
0.0,0.0,0.0,1.0,0.0,-0.5229835482939676,-0.16064686643579135,-0.08842792654022237,4562.8421
1.0,0.0,0.0,0.0,0.0,-0.9495021433202978,0.3194409929052249,-0.08842792654022237,3490.5491
0.0,0.0,0.0,1.0,0.0,1.1120043993069646,1.6967965066008293,1.5571004455995683,12485.8009
1.0,0.0,0.0,0.0,0.0,-0.23863781827641423,-0.2781856182054885,1.5571004455995683,6748.5912
0.0,1.0,0.0,1.0,0.0,0.25896720925430433,2.5890977348243034,-0.9111921126101178,45863.205
0.0,0.0,0.0,0.0,1.0,-1.2338478733378513,0.9005128502455576,-0.9111921126101178,2166.732
1.0,0.0,1.0,0.0,0.0,-0.0964649532676375,-0.2152775538780446,0.734336259529673,6457.8434
0.0,0.0,0.0,0.0,1.0,1.0409179668025763,-1.251605139903824,1.5571004455995683,12094.478
1.0,1.0,0.0,1.0,0.0,0.18788077674991593,-0.9801071780695942,-0.9111921126101178,19515.5416
1.0,0.0,0.0,0.0,0.0,-1.376020738346628,-0.07373440914129732,3.202628817739359,4915.05985
1.0,0.0,1.0,0.0,0.0,-1.0205885758246862,-0.4983638433515403,-0.9111921126101178,2523.1695
1.0,0.0,0.0,0.0,0.0,1.2541772643157414,1.7191454241908417,-0.9111921126101178,11566.30055
1.0,0.0,0.0,0.0,0.0,-1.0205885758246862,-0.9229932775617838,0.734336259529673,23241.47453
1.0,0.0,0.0,1.0,0.0,-0.5229835482939676,-0.08780594984611975,-0.08842792654022237,4074.4537
1.0,0.0,0.0,0.0,0.0,0.04570791174113922,0.5868002662968588,-0.08842792654022237,6600.20595
1.0,0.0,0.0,0.0,1.0,-1.4471071708510164,-1.632364476622561,-0.9111921126101178,1242.816
1.0,1.0,0.0,1.0,0.0,-0.30972425078080257,-1.0165276363644298,1.5571004455995683,19361.9988
1.0,0.0,0.0,0.0,0.0,0.401140074263081,-1.158898518789697,0.734336259529673,8603.8234
0.0,0.0,0.0,0.0,1.0,-0.4518971157895793,1.3806007095865733,1.5571004455995683,5972.378
0.0,0.0,0.0,1.0,0.0,-0.8073292783115211,0.4220804662815796,-0.9111921126101178,3171.6149
0.0,0.0,0.0,0.0,1.0,-0.4518971157895793,0.38731548336378174,0.734336259529673,5375.038
0.0,0.0,0.0,1.0,0.0,1.2541772643157414,-0.7980048865954161,0.734336259529673,12629.1656
1.0,1.0,0.0,0.0,1.0,-0.4518971157895793,-0.5728602353182496,-0.08842792654022237,19040.876
0.0,0.0,0.0,1.0,0.0,0.3300536417586927,-0.12422640814095584,0.734336259529673,8219.2039
0.0,0.0,0.0,0.0,1.0,0.401140074263081,0.7846295738528981,-0.9111921126101178,7348.142
0.0,0.0,0.0,0.0,0.0,-0.594069980798356,0.08353575167731181,-0.9111921126101178,4347.02335
0.0,0.0,0.0,0.0,0.0,-0.38081068328519097,-1.9137952907190183,1.5571004455995683,6753.038
0.0,0.0,0.0,0.0,1.0,-1.0916750083290745,-1.317824154985343,-0.9111921126101178,2457.502
0.0,0.0,0.0,1.0,0.0,-0.0964649532676375,0.021455425038387335,-0.08842792654022237,5976.8311
1.0,0.0,0.0,1.0,0.0,0.25896720925430433,0.7862850492299369,0.734336259529673,18806.14547
0.0,0.0,0.0,0.0,1.0,1.183090831811353,-0.8708458031850871,-0.9111921126101178,11070.535
1.0,0.0,0.0,0.0,1.0,0.9698315342981879,-1.516481200229902,-0.08842792654022237,10065.413
0.0,0.0,0.0,0.0,0.0,-0.9495021433202978,-0.15236948955060128,2.379864631669464,24671.66334
1.0,0.0,0.0,1.0,0.0,-1.162761440833463,0.33102932054449086,-0.9111921126101178,1824.2854
0.0,0.0,0.0,0.0,0.0,0.25896720925430433,-0.9072662614799232,-0.9111921126101178,7325.0482
1.0,1.0,0.0,0.0,1.0,-0.02537852076324914,0.7846295738528981,0.734336259529673,40103.89
0.0,1.0,1.0,0.0,0.0,0.401140074263081,-0.010826344813853434,-0.08842792654022237,39725.51805
0.0,0.0,0.0,0.0,1.0,-1.4471071708510164,0.38731548336378174,-0.9111921126101178,1748.774
1.0,1.0,0.0,0.0,1.0,1.4674365618289065,1.5461482472903718,-0.9111921126101178,48173.361
1.0,1.0,0.0,0.0,1.0,-1.2338478733378513,0.8342938351640384,-0.9111921126101178,35585.576
0.0,0.0,0.0,0.0,1.0,1.1120043993069646,-0.6225244966293892,-0.08842792654022237,35160.13457
1.0,0.0,0.0,0.0,1.0,-1.4471071708510164,0.8011843276232782,-0.9111921126101178,1263.249
1.0,0.0,0.0,1.0,0.0,1.6096094268376833,1.551114673421486,-0.9111921126101178,12982.8747
1.0,0.0,0.0,0.0,1.0,-1.4471071708510164,0.5859725286083405,-0.9111921126101178,1261.442
1.0,0.0,0.0,0.0,1.0,0.7565722367850228,-0.6556340041701488,-0.9111921126101178,8444.474
1.0,1.0,0.0,1.0,0.0,-1.0205885758246862,0.4585009245764151,0.734336259529673,36124.5737
1.0,0.0,0.0,1.0,0.0,1.6806958593420716,0.5131316120186683,1.5571004455995683,15161.5344
1.0,0.0,1.0,0.0,0.0,0.7565722367850228,0.06780873559545054,1.5571004455995683,10600.5483
1.0,0.0,1.0,0.0,0.0,0.04570791174113922,-0.19955053779618392,-0.08842792654022237,6393.60345
1.0,0.0,1.0,0.0,0.0,1.3963501293245182,-0.29391263428734915,-0.9111921126101178,12129.61415
0.0,0.0,0.0,0.0,0.0,-1.162761440833463,-1.0488094062166704,0.734336259529673,22395.74424
1.0,0.0,1.0,0.0,0.0,0.4722265067674694,1.6247833276996764,0.734336259529673,8733.22925
1.0,0.0,1.0,0.0,0.0,-0.4518971157895793,-1.3004416635264449,-0.9111921126101178,21984.47061
0.0,0.0,0.0,0.0,1.0,1.1120043993069646,-0.14243663728837358,0.734336259529673,11881.358
0.0,0.0,1.0,0.0,0.0,0.7565722367850228,-0.07373440914129732,-0.08842792654022237,9910.35985
0.0,0.0,0.0,0.0,0.0,-0.23863781827641423,-1.3948037600176095,1.5571004455995683,7228.21565
1.0,0.0,0.0,1.0,0.0,-1.162761440833463,3.2810864424261816,-0.08842792654022237,2438.0552
0.0,0.0,1.0,0.0,0.0,-0.5229835482939676,-0.13664247346874062,-0.9111921126101178,4357.04365
1.0,0.0,1.0,0.0,0.0,0.25896720925430433,-0.07373440914129732,1.5571004455995683,8410.04685
1.0,0.0,0.0,0.0,1.0,-0.0964649532676375,0.07277516172656469,-0.08842792654022237,5488.262
0.0,1.0,0.0,0.0,0.0,-0.02537852076324914,-0.9387202936436445,1.5571004455995683,21659.9301
0.0,0.0,1.0,0.0,0.0,1.1120043993069646,0.49243816980569355,0.734336259529673,12269.68865
1.0,0.0,1.0,0.0,0.0,-1.376020738346628,-0.13664247346874062,-0.9111921126101178,1769.53165
1.0,1.0,0.0,0.0,0.0,0.11679434424552758,0.03635470343172918,1.5571004455995683,39597.4072
0.0,1.0,0.0,0.0,1.0,-0.8784157108159095,0.13899417680808387,-0.9111921126101178,34838.873
1.0,0.0,0.0,0.0,0.0,-0.9495021433202978,-0.18382352171432323,-0.9111921126101178,2897.3235
1.0,0.0,0.0,1.0,0.0,-1.5181936033554047,2.0610010895491855,-0.9111921126101178,1149.3959
0.0,1.0,0.0,0.0,1.0,-0.02537852076324914,-2.0296785671116773,3.202628817739359,19023.26
1.0,0.0,0.0,0.0,0.0,-0.5229835482939676,1.1215188130801288,-0.08842792654022237,4667.60765
1.0,0.0,1.0,0.0,0.0,1.2541772643157414,0.5081651858875553,-0.08842792654022237,11945.1327
0.0,0.0,1.0,0.0,0.0,1.0409179668025763,-0.9859013418892272,1.5571004455995683,12479.70895
0.0,0.0,0.0,1.0,0.0,-0.594069980798356,-0.7980048865954161,-0.9111921126101178,3756.6216
0.0,0.0,0.0,0.0,1.0,0.11679434424552758,0.17210368434884407,-0.9111921126101178,6186.127
1.0,0.0,0.0,0.0,1.0,0.6143993717762462,-0.059662868436474295,0.734336259529673,8968.33
